Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
14;21101048330;"Mining Science and Technology (Russian Federation)";journal;"25000632";0,520;Q2;11;29;86;711;118;86;1,95;24,52;25,76;0;9;Russian Federation;Eastern Europe;"National University of Science and Technology MISIS";"2016-2024";"Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Earth and Planetary Sciences; Engineering"
15;21100907383;"Georesursy";journal;"16085043, 16085078";0,503;Q2;14;59;174;1393;192;173;0,95;23,61;36,04;0;7;Russian Federation;Eastern Europe;"Georesursy LLC";"2017-2024";"Geology (Q2); Geophysics (Q2)";"Earth and Planetary Sciences"
16;85920;"Reviews on Advanced Materials Science";journal;"16058127, 16065131";0,494;Q2;70;71;143;3955;518;143;3,49;55,70;28,33;0;10;Russian Federation;Eastern Europe;"Walter de Gruyter GmbH";"2003-2024";"Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q3)";"Materials Science; Physics and Astronomy"
17;21100827893;"Sustainable Development of Mountain Territories";journal;"19984502, 2499975X";0,492;Q2;19;70;179;1744;218;177;1,38;24,91;42,22;0;31;Russian Federation;Eastern Europe;"North Caucasian Institute of Mining and Metallurgy, State Technological University";"2011-2024";"Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Mechanical Engineering (Q2); Sociology and Political Science (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Earth and Planetary Sciences; Energy; Engineering; Environmental Science; Social Sciences"
18;21100411349;"Zoosystematica Rossica";journal;"03209180, 24100226";0,481;Q2;12;32;100;870;72;100;0,66;27,19;45,31;0;1;Russian Federation;Eastern Europe;"Zoological Institute, Russian Academy of Sciences";"2014-2025";"Animal Science and Zoology (Q2); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
19;21100256975;"Acta Naturae";journal;"20758251";0,478;Q3;38;41;145;2736;341;145;2,21;66,73;50,00;0;14;Russian Federation;Eastern Europe;"Acta Naturae";"2013-2024";"Biochemistry (Q3); Biotechnology (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology"
20;19700173205;"Acarina";journal;"22215115, 01328077";0,475;Q2;17;20;59;446;35;59;0,73;22,30;13,33;0;0;Russian Federation;Eastern Europe;"Tyumen State University";"2009-2024";"Insect Science (Q2)";"Agricultural and Biological Sciences"
21;20500195051;"Arthropoda Selecta";journal;"0136006X";0,470;Q2;18;57;162;1598;135;162;0,77;28,04;25,41;0;1;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2011-2024";"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
22;21100775412;"Foresight and STI Governance";journal;"23129972, 25002597";0,467;Q2;27;27;92;1407;257;87;2,28;52,11;30,43;4;16;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2015-2024";"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Social Sciences (miscellaneous) (Q2); Strategy and Management (Q2); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
23;21100415026;"Invertebrate Zoology";journal;"18129250, 18140815";0,455;Q2;14;29;86;1234;107;86;1,41;42,55;37,31;0;5;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2015-2024";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
24;26395;"Russian Mathematical Surveys";journal;"00360279, 14684829";0,450;Q2;47;46;132;1902;114;131;0,69;41,35;21,05;0;1;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1970-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
25;23294;"Izvestiya Mathematics";journal;"10645632, 14684810";0,449;Q2;27;45;145;1205;82;144;0,61;26,78;30,51;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1993-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
26;4900152805;"Archaeology, Ethnology and Anthropology of Eurasia";journal;"15630110";0,440;Q1;23;62;188;2013;112;188;0,55;32,47;35,00;0;9;Russian Federation;Eastern Europe;"Elsevier";"2006-2024";"Archeology (arts and humanities) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
27;21100254429;"Obogashchenie Rud";journal;"02023776";0,437;Q2;15;54;158;1151;186;157;1,22;21,31;38,33;1;16;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2024";"Materials Chemistry (Q2); Metals and Alloys (Q2)";"Materials Science"
28;21100898952;"Nature Conservation Research";journal;"2500008X";0,431;Q2;20;39;174;1993;337;174;2,26;51,10;41,89;2;26;Russian Federation;Eastern Europe;"Fund for Support and Development of Protected Areas "Bear Land"";"2016-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Ecology (Q2); Nature and Landscape Conservation (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
29;38533;"Eurasian Soil Science";journal;"10642293, 1556195X";0,428;Q2;45;171;507;8521;896;507;1,59;49,83;46,60;0;55;Russian Federation;Eastern Europe;"";"1992-2024";"Earth-Surface Processes (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
30;21100826879;"International Journal of Corrosion and Scale Inhibition";journal;"23056894";0,428;Q2;35;107;267;4440;790;267;3,08;41,50;40,35;0;12;Russian Federation;Eastern Europe;"Russian Association of Corrosion Engineers";"2017-2024";"Materials Chemistry (Q2); Metals and Alloys (Q2)";"Materials Science"
31;21100943271;"Trudy Instituta Matematiki i Mekhaniki UrO RAN";journal;"26584786, 01344889";0,425;Q2;10;89;273;1429;146;273;0,56;16,06;36,72;0;3;Russian Federation;Eastern Europe;"Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences";"2019-2024";"Computational Mechanics (Q2); Mathematics (miscellaneous) (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Mathematics"
32;21100898936;"Mining Informational and Analytical Bulletin";journal;"02361493";0,420;Q2;21;341;909;9239;932;909;1,13;27,09;34,55;2;92;Russian Federation;Eastern Europe;"Publishing house Mining book";"2018-2025";"Ecology (Q2); Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Geochemistry and Petrology (Q3)";"Earth and Planetary Sciences; Engineering; Environmental Science"
33;21100431830;"Russian Entomological Journal";journal;"01328069";0,416;Q2;14;70;186;1081;99;182;0,68;15,44;16,39;0;1;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2015-2024";"Insect Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
34;21100199808;"Siberian Electronic Mathematical Reports";journal;"18133304";0,416;Q2;16;82;430;1497;220;430;0,51;18,26;31,36;0;1;Russian Federation;Eastern Europe;"Sobolev Institute of Mathematics";"2011-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
35;21100407142;"Far Eastern Entomologist";journal;"1026051X";0,413;Q2;14;67;210;963;115;210;0,53;14,37;23,15;0;1;Russian Federation;Eastern Europe;"Far East Branch of the Russian Entomological Society and Laboratory of Entomology, Institute of Biology and Pedology";"2015-2025";"Insect Science (Q2)";"Agricultural and Biological Sciences"
36;21100805726;"Voprosy Obrazovaniya / Educational Studies Moscow";journal;"24124354, 18149545";0,378;Q2;19;41;150;1734;193;149;1,27;42,29;74,26;1;23;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2012-2024";"Education (Q2)";"Social Sciences"
37;21101039227;"Arktika: Ekologia i Ekonomika";journal;"22234594";0,377;Q2;11;48;92;1076;149;92;1,62;22,42;39,84;0;24;Russian Federation;Eastern Europe;"Nuclear Safety Institute of the Russian Academy of Sciences";"2020-2024";"Earth and Planetary Sciences (miscellaneous) (Q2); Earth-Surface Processes (Q2); Ecology (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q3)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
38;17768;"Ugol";journal;"24128333, 00415790";0,375;Q3;18;157;458;2614;330;454;0,79;16,65;53,16;0;51;Russian Federation;Eastern Europe;"Ugol'";"1970, 1974, 1976-1988, 2001-2005, 2017-2025";"Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Geochemistry and Petrology (Q3); Geotechnical Engineering and Engineering Geology (Q3); Mechanical Engineering (Q3)";"Earth and Planetary Sciences; Energy; Engineering"
39;21101040217;"Proceedings of the Zoological Institute of the Russian Academy of Sciences";journal;"22213996, 02060477";0,367;Q2;8;27;79;829;79;78;0,82;30,70;40,38;0;1;Russian Federation;Eastern Europe;"Russian Academy of Sciences, Zoological Institute";"2019-2024";"Animal Science and Zoology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3)";"Agricultural and Biological Sciences"
40;21100439341;"Ruthenica";journal;"01360027, 23077336";0,362;Q2;9;19;58;531;42;58;0,68;27,95;24,14;0;0;Russian Federation;Eastern Europe;"A.N.Severtsov Institute of Ecology and Evolution of RAS";"2015-2025";"Animal Science and Zoology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
41;21100942841;"Russian Journal of Economics";journal;"26187213, 24054739";0,361;Q1;20;22;73;700;101;71;1,67;31,82;54,55;3;16;Russian Federation;Eastern Europe;"Non-profit partnership 'Voprosy Ekonomiki'";"2015-2024";"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Economics and Econometrics (Q3); Finance (Q3)";"Arts and Humanities; Economics, Econometrics and Finance"
42;21100316007;"Russian Journal of Herpetology";journal;"10262296";0,357;Q2;16;37;129;1468;116;128;0,97;39,68;27,12;3;9;Russian Federation;Eastern Europe;"Folium Ltd";"2014-2024";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
43;21100843015;"RUDN Journal of Sociology";journal;"23132272, 24088897";0,356;Q2;9;69;198;1706;105;197;0,54;24,72;56,57;0;37;Russian Federation;Eastern Europe;"RUDN University";"2017-2024";"Social Sciences (miscellaneous) (Q2)";"Social Sciences"
44;21100843025;"Protistology";journal;"16800826";0,351;Q3;10;19;73;903;79;72;0,94;47,53;48,78;0;6;Russian Federation;Eastern Europe;"Protozoological Society Affiliated With The Russian Academy Of Sciences";"2017-2024";"Ecology, Evolution, Behavior and Systematics (Q3); Microbiology (Q4)";"Agricultural and Biological Sciences; Immunology and Microbiology"
45;21100872374;"Russian Journal of Earth Sciences";journal;"16811178, 16811208";0,351;Q3;23;37;128;1089;159;128;1,36;29,43;43,14;0;7;Russian Federation;Eastern Europe;"Geophysical Center of the Russian Academy of Sciences";"1998-2024";"Earth and Planetary Sciences (miscellaneous) (Q3)";"Earth and Planetary Sciences"
46;21101021170;"Acta Biologica Sibirica";journal;"24121908";0,346;Q3;7;59;105;1900;61;104;0,69;32,20;51,74;0;15;Russian Federation;Eastern Europe;"Altai State University";"2019-2025";"Animal Science and Zoology (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Global and Planetary Change (Q3); Insect Science (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences; Environmental Science"
47;18796;"Water Resources";journal;"00978078, 1608344X";0,345;Q3;29;127;337;3905;371;337;1,03;30,75;47,11;0;49;Russian Federation;Eastern Europe;"";"1976, 1978-1992, 1994, 1996-2024";"Water Science and Technology (Q3)";"Environmental Science"
48;21100792082;"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki";journal;"20765959, 19949197";0,342;Q3;11;37;133;1269;82;133;0,66;34,30;18,33;0;1;Russian Federation;Eastern Europe;"Udmurt State University";"2016-2024";"Computer Science (miscellaneous) (Q3); Fluid Flow and Transfer Processes (Q3); Mathematics (miscellaneous) (Q3)";"Chemical Engineering; Computer Science; Mathematics"
49;19900193811;"Comparative Cytogenetics";journal;"1993078X, 19930771";0,340;Q3;26;13;95;628;102;93;1,13;48,31;29,63;0;0;Russian Federation;Eastern Europe;"";"2010-2025";"Animal Science and Zoology (Q3); Biotechnology (Q3); Insect Science (Q3); Plant Science (Q3); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
50;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";0,340;Q3;12;32;104;758;113;104;1,12;23,69;29,41;0;1;Russian Federation;Eastern Europe;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Fluid Flow and Transfer Processes (Q3); Physics and Astronomy (miscellaneous) (Q3); Signal Processing (Q3)";"Chemical Engineering; Computer Science; Mathematics; Physics and Astronomy"
51;21100386483;"Ufa Mathematical Journal";journal;"23040122";0,339;Q3;11;38;131;658;87;131;0,71;17,32;29,41;0;0;Russian Federation;Eastern Europe;"Institute of Mathematics with Computing Centre";"2014-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
52;21101039256;"Arctoa";journal;"01311379";0,338;Q3;7;24;54;501;52;54;0,89;20,88;62,07;0;1;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2019-2024";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences"
53;21100898602;"Vysshee Obrazovanie v Rossii";journal;"08693617, 20720459";0,335;Q1;15;108;451;3183;493;451;1,28;29,47;60,78;1;55;Russian Federation;Eastern Europe;"Moscow Polytechnic University";"2018-2025";"Philosophy (Q1); Sociology and Political Science (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
54;21100874350;"Baltic Region";journal;"23100524, 20798555";0,333;Q1;11;37;111;1304;132;110;1,14;35,24;36,73;0;21;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2018-2024";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
55;21100818507;"Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny";journal;"22195467";0,330;Q2;14;114;398;4098;346;397;0,93;35,95;68,47;0;52;Russian Federation;Eastern Europe;"Russian Public Opinion Research Center, VCIOM";"2016-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
56;23452;"Voprosy Ekonomiki";journal;"00428736";0,326;Q1;22;91;281;3500;270;281;0,97;38,46;42,76;0;46;Russian Federation;Eastern Europe;"Voprosy Ekonomiki";"1978-1982, 1984-1985, 1996, 1998, 2003-2025";"History (Q1); Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
57;21100843325;"Supercomputing Frontiers and Innovations";journal;"23138734, 24096008";0,323;Q3;19;27;73;794;137;73;0,98;29,41;32,04;0;5;Russian Federation;Eastern Europe;"South Ural State University";"2014-2024";"Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
58;21100926578;"Ural Mathematical Journal";journal;"24143952";0,323;Q3;7;27;68;479;51;68;0,76;17,74;24,53;0;0;Russian Federation;Eastern Europe;"Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences";"2019-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
59;21100203110;"Computer Optics";journal;"01342452";0,321;Q2;41;109;353;3520;787;352;2,22;32,29;23,77;0;7;Russian Federation;Eastern Europe;"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS";"2008-2024";"Engineering (miscellaneous) (Q2); Atomic and Molecular Physics, and Optics (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering; Physics and Astronomy"
60;21100937441;"Vestnik Archeologii, Antropologii i Etnografii";journal;"18117465, 20710437";0,321;Q1;7;74;209;2069;83;209;0,39;27,96;50,40;0;16;Russian Federation;Eastern Europe;"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences";"2019-2024";"Archeology (arts and humanities) (Q1); Anthropology (Q2); Archeology (Q2)";"Arts and Humanities; Social Sciences"
61;14022;"Paleontological Journal";journal;"15556174, 00310301";0,319;Q3;40;124;396;6758;257;390;0,61;54,50;44,62;0;1;Russian Federation;Eastern Europe;"";"1990-2024";"Paleontology (Q3)";"Earth and Planetary Sciences"
62;22640;"Geomorfologiya";journal;"04354281";0,318;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1979-1980, 1982-1993, 1995-2022";"Earth-Surface Processes (Q2)";"Earth and Planetary Sciences"
63;21100944565;"Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta";journal;"22263594, 24101737";0,318;Q3;6;15;57;425;33;57;0,58;28,33;16,13;0;0;Russian Federation;Eastern Europe;"Udmurt State University";"2019-2024";"Computational Theory and Mathematics (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Mathematics"
64;21101038723;"Gornaya Promyshlennost";journal;"16099192, 25879138";0,315;Q3;10;88;139;1262;102;138;0,78;14,34;24,35;0;31;Russian Federation;Eastern Europe;"Scientific and Industrial company 'Gemos Ltd.'";"2019-2024";"Geology (Q3); Geotechnical Engineering and Engineering Geology (Q3); Industrial and Manufacturing Engineering (Q3); Mechanical Engineering (Q3)";"Earth and Planetary Sciences; Engineering"
65;21100840951;"Geography, Environment, Sustainability";journal;"25421565, 20719388";0,314;Q3;20;62;211;2664;283;210;1,31;42,97;38,38;0;40;Russian Federation;Eastern Europe;"Lomonosov Moscow State University, Faculty of Geography";"2015-2024";"Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)";"Environmental Science; Social Sciences"
66;21100781412;"Magazine of Civil Engineering";journal;"20714726, 27128172";0,314;Q3;32;117;303;3948;447;303;1,33;33,74;33,57;0;30;Russian Federation;Eastern Europe;"Peter the Great St. Petersburg Polytechnic University";"2013-2024";"Building and Construction (Q3); Civil and Structural Engineering (Q3)";"Engineering"
67;21100780549;"Russian Sociological Review";journal;"1728192X, 17281938";0,310;Q1;11;42;161;2172;72;159;0,46;51,71;30,77;0;8;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2001-2003, 2016-2024";"Cultural Studies (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
68;21100432047;"Sovremennye Problemy Distantsionnogo Zondirovaniya Zemli iz Kosmosa";journal;"20707401, 24110280";0,308;Q3;19;144;494;3747;424;492;0,81;26,02;39,64;1;38;Russian Federation;Eastern Europe;"Space Research Institute of the Russian Academy of Sciences";"2015-2024";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Computers in Earth Sciences (Q3)";"Computer Science; Earth and Planetary Sciences"
69;21100778009;"Polis. Political Studies";journal;"10269487, 16840070";0,307;Q2;12;73;220;2031;149;218;0,74;27,82;37,89;0;26;Russian Federation;Eastern Europe;"Editorial Board Polis (Political Studies)";"2015-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
70;21100860383;"Cultural-Historical Psychology";journal;"22248935, 18165435";0,306;Q1;12;51;150;1521;153;149;0,97;29,82;66,94;0;7;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2018-2024";"Cultural Studies (Q1); Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
71;21100845389;"Chebyshevskii Sbornik";journal;"22268383";0,305;Q3;10;113;367;2554;144;367;0,37;22,60;30,85;0;3;Russian Federation;Eastern Europe;"State Lev Tolstoy Pedagogical University";"2017-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
72;21100777291;"Foods and Raw Materials";journal;"23084057, 23109599";0,305;Q3;18;38;143;1496;287;143;2,01;39,37;49,32;0;7;Russian Federation;Eastern Europe;"Kemerovo State University";"2013-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
73;21101034002;"Izvestiya Rossiiskoi Akademii Nauk. Seriya Geograficheskaya";journal;"26586975, 25875566";0,305;Q1;13;0;0;0;0;0;0,00;0,00;51,41;0;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1978-1992, 1995-2011, 2018";"Cultural Studies (Q1); Urban Studies (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)";"Earth and Planetary Sciences; Social Sciences"
74;21100305004;"Journal of Siberian Federal University - Mathematics and Physics";journal;"19971397";0,304;Q3;14;81;232;1439;133;232;0,56;17,77;31,14;0;1;Russian Federation;Eastern Europe;"Siberian Federal University";"2014-2025";"Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Mathematics; Physics and Astronomy"
75;21100829916;"Chernye Metally";journal;"01320890, 24140104";0,300;Q2;17;149;431;3133;209;431;0,45;21,03;32,67;0;26;Russian Federation;Eastern Europe;"Ore and Metals Publishing house";"2016-2024";"Metals and Alloys (Q2)";"Materials Science"
76;21100820733;"International Organisations Research Journal";journal;"19967845, 25422081";0,300;Q2;15;38;130;1678;126;129;1,02;44,16;44,00;1;27;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2015-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance; Social Sciences"
77;21100928218;"Vestnik Samarskogo Gosudarstvennogo Tekhnicheskogo Universiteta, Seriya Fiziko-Matematicheskie Nauki";journal;"23107081, 19918615";0,298;Q3;10;40;134;1128;87;134;0,73;28,20;31,94;0;2;Russian Federation;Eastern Europe;"Samara State Technical University";"2019-2024";"Analysis (Q3); Applied Mathematics (Q3); Condensed Matter Physics (Q3); Mathematical Physics (Q3); Mechanics of Materials (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
