Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21511;"Russian Chemical Reviews";journal;"0036021X, 14684837";1,085;Q1;90;37;132;10484;986;131;7,97;283,35;27,15;0;9;Russian Federation;Eastern Europe;"Editorial Board of the Journal Uspekhi Khimii (Russian Chemical Reviews)";"1970-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
2;21100913307;"Journal of Mining Institute";journal;"25419404, 24113336";0,782;Q1;32;98;270;3734;930;270;3,44;38,10;29,81;0;12;Russian Federation;Eastern Europe;"Saint-Petersburg Mining University";"2017-2024";"Geology (Q1); Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2)";"Earth and Planetary Sciences"
3;21101039405;"RUDN Journal of Language Studies, Semiotics and Semantics";journal;"24111236, 23132299";0,683;Q1;10;65;207;1690;143;202;0,90;26,00;76,00;1;5;Russian Federation;Eastern Europe;"Peoples' Friendship University of Russia";"2019-2024";"Linguistics and Language (Q1)";"Social Sciences"
4;21100286906;"Eurasian Mining";journal;"20720823";0,650;Q2;20;41;95;1002;164;95;1,96;24,44;29,07;0;11;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2024";"Business and International Management (Q2); Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Earth and Planetary Sciences; Engineering"
5;16869;"Biochemistry (Moscow)";journal;"00062979, 16083040";0,649;Q2;97;154;464;11681;1319;463;2,89;75,85;53,75;0;42;Russian Federation;Eastern Europe;"";"1972-1980, 1996-2024";"Biochemistry (Q2); Biophysics (Q2); Medicine (miscellaneous) (Q2); Geriatrics and Gerontology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
6;21100874334;"Russian Journal of Linguistics";journal;"26868024, 26870088";0,629;Q1;17;43;144;1876;169;143;1,33;43,63;55,41;0;2;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1)";"Social Sciences"
7;21100438196;"CIS Iron and Steel Review";journal;"20720815";0,625;Q1;18;38;97;806;175;97;2,04;21,21;30,23;0;10;Russian Federation;Eastern Europe;"Ore and Metals Publishing house";"2014-2024";"Metals and Alloys (Q1); Industrial and Manufacturing Engineering (Q2)";"Engineering; Materials Science"
8;21101055860;"Science and Technologies: Oil and Oil Products Pipeline Transportation";journal;"25419595, 22212701";0,623;Q1;7;56;208;996;87;208;0,45;17,79;18,71;0;13;Russian Federation;Eastern Europe;"Pipeline Transport Institute, LLC";"2019-2023";"Engineering (miscellaneous) (Q1); Metals and Alloys (Q1); Civil and Structural Engineering (Q2); Ecology (Q2); Energy (miscellaneous) (Q2); Mechanics of Materials (Q2); Safety, Risk, Reliability and Quality (Q2)";"Energy; Engineering; Environmental Science; Materials Science"
9;26456;"Sbornik Mathematics";journal;"14684802, 10645616";0,571;Q2;32;71;210;1775;154;210;0,75;25,00;22,22;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1977, 1993-2024";"Algebra and Number Theory (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
10;21101040697;"Russian Language Studies";journal;"26188171, 26188163";0,570;Q1;7;32;86;689;49;84;0,55;21,53;84,21;2;6;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
11;19900192728;"Moscow Mathematical Journal";journal;"16094514, 16093321";0,569;Q2;24;24;92;686;76;89;0,82;28,58;12,50;0;0;Russian Federation;Eastern Europe;"Independent University of Moscow";"2010-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
12;21100915694;"Bulletin of Irkutsk State University, Series Mathematics";journal;"25418785, 19977670";0,564;Q2;9;38;108;686;82;108;0,82;18,05;32,35;0;2;Russian Federation;Eastern Europe;"Irkutsk State University";"2019-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
13;29244;"Physics-Uspekhi";journal;"10637869, 14684780";0,532;Q2;94;87;206;12030;479;202;2,59;138,28;18,23;0;7;Russian Federation;Eastern Europe;"Uspekhi Fizicheskikh Nauk";"1993-2024";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
