Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
42;21100898936;"Mining Informational and Analytical Bulletin";journal;"02361493";0,435;Q2;21;212;977;5693;1281;977;1,73;26,85;-;0;66;Russian Federation;Eastern Europe;"Publishing house Mining book";"2018-2025";"Ecology (Q2); Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Geochemistry and Petrology (Q3)";"Earth and Planetary Sciences; Engineering; Environmental Science"
43;21100863480;"New Research of Tuva";journal;"20798482";0,434;Q1;15;81;203;2566;290;203;1,61;31,68;-;0;18;Russian Federation;Eastern Europe;"Ch. K. Lamazhaa";"2016-2024";"Anthropology (Q1); Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
44;21101264430;"Terra Linguistica";journal;"27825450";0,422;Q1;4;41;103;920;52;101;0,70;22,44;-;0;4;Russian Federation;Eastern Europe;"St. Petersburg Polytechnic University of Peter the Great";"2020-2024";"Linguistics and Language (Q1)";"Social Sciences"
45;21100826879;"International Journal of Corrosion and Scale Inhibition";journal;"23056894";0,418;Q2;35;137;336;6354;1015;336;2,24;46,38;-;0;14;Russian Federation;Eastern Europe;"Russian Association of Corrosion Engineers";"2017-2024";"Metals and Alloys (Q2); Materials Chemistry (Q3)";"Materials Science"
46;21100927202;"Kritika i Semiotika";journal;"23071737, 23071753";0,406;Q1;5;20;137;539;33;137;0,31;26,95;-;0;0;Russian Federation;Eastern Europe;"Institute of Philology of the Siberian Branch of the Russian Academy of Sciences";"2019-2024";"Linguistics and Language (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
47;21100386483;"Ufa Mathematical Journal";journal;"23040122";0,402;Q2;11;38;129;630;77;129;0,51;16,58;-;0;0;Russian Federation;Eastern Europe;"Institute of Mathematics with Computing Centre";"2014-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
48;20500195051;"Arthropoda Selecta";journal;"0136006X";0,398;Q2;18;54;147;1718;107;147;0,69;31,81;-;0;2;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2011-2024";"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
49;21101037149;"Training, Language and Culture";journal;"2521442X, 25202073";0,398;Q1;11;32;87;1708;108;87;1,34;53,38;-;0;6;Russian Federation;Eastern Europe;"RUDN University";"2017-2024";"Cultural Studies (Q1); Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
50;21101038727;"Etnografia";journal;"26188600, 26870789";0,396;Q1;7;44;130;968;56;130;0,45;22,00;-;0;9;Russian Federation;Eastern Europe;"Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences";"2018-2024";"Anthropology (Q1); Cultural Studies (Q1); History (Q1); Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences"
51;21100874350;"Baltic Region";journal;"23100524, 20798555";0,390;Q1;11;34;107;1160;119;106;1,08;34,12;-;0;15;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2018-2024";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
52;21100810885;"Problemy Analiza";journal;"23063432, 23063424";0,389;Q3;10;20;74;434;65;74;1,14;21,70;-;0;1;Russian Federation;Eastern Europe;"Petrozavodsk State University";"2016-2024";"Analysis (Q3); Applied Mathematics (Q3)";"Mathematics"
53;21101045753;"RUDN Journal of Philosophy";journal;"24088900, 23132302";0,388;Q1;4;85;186;1713;36;181;0,21;20,15;-;0;5;Russian Federation;Eastern Europe;"RUDN University";"2019-2024";"Philosophy (Q1)";"Arts and Humanities"
54;21100901016;"Journal of Language and Education";journal;"24117390";0,386;Q1;14;40;168;2376;288;166;1,74;59,40;-;0;11;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2018-2024";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
55;21100927989;"Oriental Studies";journal;"26191008, 26190990";0,385;Q1;7;91;355;3243;96;355;0,32;35,64;-;0;19;Russian Federation;Eastern Europe;"Kalmyk Scientific Centre of Russian Academy of Sciences";"2013-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1); Linguistics and Language (Q1)";"Arts and Humanities; Social Sciences"
56;21100876251;"Vestnik Sankt-Peterburgskogo Universiteta, Filosofiia i Konfliktologiia";journal;"25422278, 25419382";0,383;Q1;6;44;166;1006;55;166;0,35;22,86;-;0;5;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"Cultural Studies (Q1); Philosophy (Q1); Religious Studies (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
57;21101038731;"Geologiya i Geofizika Yuga Rossii";journal;"22213198, 26867486";0,382;Q2;11;65;153;1529;157;153;1,18;23,52;-;0;20;Russian Federation;Eastern Europe;"Geophysical Institute of the Vladikavkaz Scientific Centre of the Russian Academy of Sciences";"2019-2024";"Ecology (Q2); Geology (Q2); Geophysics (Q3); Geotechnical Engineering and Engineering Geology (Q3)";"Earth and Planetary Sciences; Environmental Science"
58;21100254429;"Obogashchenie Rud";journal;"02023776";0,380;Q2;15;49;156;1229;164;156;1,00;25,08;-;0;4;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2024";"Metals and Alloys (Q2); Materials Chemistry (Q3)";"Materials Science"
59;21100903469;"Russia in Global Affairs";journal;"18106374, 26189844";0,380;Q1;9;47;148;1428;89;122;0,59;30,38;-;2;12;Russian Federation;Eastern Europe;"Foreign Policy Research Foundation";"2018-2024";"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
60;21101083190;"Medialingvistika";journal;"23120274, 2312296X";0,376;Q1;7;29;93;994;59;93;0,80;34,28;-;0;2;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2019-2024";"Linguistics and Language (Q1)";"Social Sciences"
61;21100226998;"Sovremennye Tehnologii v Medicine";journal;"2309995X, 20764243";0,373;Q3;18;43;149;1771;261;148;1,39;41,19;-;0;11;Russian Federation;Eastern Europe;"Privolzhsky Research Medical University";"2009-2024";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
62;21100792813;"Turczaninowia";journal;"15607267, 15607259";0,372;Q2;11;15;206;457;122;206;0,54;30,47;-;0;5;Russian Federation;Eastern Europe;"Altai State University";"2016-2024";"Ecology (Q2); Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
63;21101022481;"Vestnik Sankt-Peterburgskogo Universiteta, Yazyk i Literatura";journal;"25419366, 25419358";0,372;Q1;7;52;168;2284;63;168;0,42;43,92;-;0;4;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"Linguistics and Language (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
64;21100944565;"Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta";journal;"22263594, 24101737";0,369;Q3;6;16;49;373;23;49;0,58;23,31;-;0;0;Russian Federation;Eastern Europe;"Udmurt State University";"2019-2024";"Computational Theory and Mathematics (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Mathematics"
65;21101168870;"Camera Praehistorica";journal;"26586665, 26583828";0,362;Q1;4;17;49;565;16;46;0,21;33,24;-;0;1;Russian Federation;Eastern Europe;"Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences";"2019-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); Anthropology (Q2)";"Arts and Humanities; Social Sciences"
66;21100853920;"Zolotoordynskoe Obozrenie";journal;"23136197, 2308152X";0,354;Q1;5;63;167;1869;46;167;0,31;29,67;-;0;6;Russian Federation;Eastern Europe;"Shigabutdin Marjani Institute of History of Academy of Sciences";"2017-2024";"History (Q1)";"Arts and Humanities"
67;21100775412;"Foresight and STI Governance";journal;"23129972, 25002597";0,352;Q2;27;29;89;1662;179;88;1,55;57,31;-;0;18;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2015-2024";"Decision Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); History and Philosophy of Science (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Management of Technology and Innovation (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
68;21101039256;"Arctoa";journal;"01311379";0,346;Q2;7;24;78;586;57;78;0,90;24,42;-;0;1;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2019-2024";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
69;21101154811;"Vestnik Rossiyskikh Universitetov. Matematika";journal;"27823342, 26869667";0,344;Q3;5;33;94;544;38;94;0,44;16,48;-;0;1;Russian Federation;Eastern Europe;"Tambov State University";"2019-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
70;21100857559;"BRICS Law Journal";journal;"24122343, 24099058";0,343;Q2;8;32;85;549;82;80;0,73;17,16;-;0;26;Russian Federation;Eastern Europe;"University of Tyumen";"2017-2024";"Law (Q2)";"Social Sciences"
71;21100778009;"Polis. Political Studies";journal;"10269487, 16840070";0,343;Q2;12;68;215;2291;111;214;0,57;33,69;-;0;20;Russian Federation;Eastern Europe;"Editorial Board Polis (Political Studies)";"2015-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
72;21101064806;"Mongolian Studies";journal;"25001523, 27128059";0,341;Q1;4;55;152;2367;19;152;0,13;43,04;-;0;9;Russian Federation;Eastern Europe;"Kalmyk Scientific Centre of Russian Academy of Sciences";"2016-2024";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2); Social Sciences (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences"
73;21101173092;"Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriya 2. Yazykoznanie";journal;"24091979, 19989911";0,341;Q2;3;81;164;2283;52;164;0,32;28,19;-;0;10;Russian Federation;Eastern Europe;"Volgograd State University";"2022-2024";"Linguistics and Language (Q2); Education (Q3)";"Social Sciences"
74;21101193862;"Dostoevsky and World Culture. Philological Journal";journal;"27128512, 26190311";0,340;Q1;4;42;118;1170;33;112;0,38;27,86;-;0;2;Russian Federation;Eastern Europe;"Russian Academy of Sciences-A.M. Gorky Institute of World Literature";"2019-2024";"Literature and Literary Theory (Q1)";"Arts and Humanities"
75;19900193811;"Comparative Cytogenetics";journal;"1993078X, 19930771";0,339;Q2;26;16;64;824;69;64;0,94;51,50;-;0;1;Russian Federation;Eastern Europe;"";"2010-2025";"Animal Science and Zoology (Q2); Biotechnology (Q3); Insect Science (Q3); Plant Science (Q3); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
76;21100943271;"Trudy Instituta Matematiki i Mekhaniki UrO RAN";journal;"26584786, 01344889";0,339;Q2;10;42;258;961;83;255;0,23;22,88;-;0;1;Russian Federation;Eastern Europe;"Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences";"2019-2024";"Computational Mechanics (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Engineering; Mathematics"
77;11300153729;"Biochemistry (Moscow) Supplement Series A: Membrane and Cell Biology";journal;"19907478, 19907494";0,336;Q3;17;34;119;2192;151;119;1,56;64,47;-;0;4;Russian Federation;Eastern Europe;"";"2007-2024";"Biochemistry (Q3); Biophysics (Q3); Cell Biology (Q4)";"Biochemistry, Genetics and Molecular Biology"
78;21101012573;"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya";journal;"18187919";0,335;Q1;6;126;401;4042;79;401;0,23;32,08;-;0;15;Russian Federation;Eastern Europe;"Novosibirsk State Technical University";"2019-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
79;21101038803;"Nanosystems: Physics, Chemistry, Mathematics";journal;"22208054, 23057971";0,334;Q3;14;96;241;3703;296;241;1,29;38,57;-;0;9;Russian Federation;Eastern Europe;"ITMO University";"2019-2024";"Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Materials Science; Mathematics; Physics and Astronomy"
80;21101145558;"Consortium Psychiatricum";journal;"27132919, 27127672";0,333;Q3;8;25;109;1197;130;99;1,19;47,88;-;0;12;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2020-2024";"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Psychology"
81;21100782420;"Ural'skij Istoriceskij Vestnik";journal;"17289718";0,332;Q1;9;81;247;1525;55;246;0,16;18,83;-;0;17;Russian Federation;Eastern Europe;"Ural Branch of RAS";"2016-2024";"History (Q1)";"Arts and Humanities"
82;21100390180;"Voprosy Kognitivnoy Lingvistiki";journal;"18123228";0,332;Q2;9;40;131;1105;27;131;0,24;27,63;-;0;2;Russian Federation;Eastern Europe;"Tambov State University";"2014-2024";"Linguistics and Language (Q2)";"Social Sciences"
