Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100913307;"Journal of Mining Institute";journal;"25419404, 24113336";1,351;Q1;32;85;271;3343;1397;266;5,66;39,33;-;0;32;Russian Federation;Eastern Europe;"Saint-Petersburg Mining University";"2017-2024";"Economic Geology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
2;4900152805;"Archaeology, Ethnology and Anthropology of Eurasia";journal;"15630110";0,846;Q1;23;59;186;1832;110;186;0,61;31,05;-;0;4;Russian Federation;Eastern Europe;"Elsevier";"2006-2024";"Archeology (arts and humanities) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
3;21101040697;"Russian Language Studies";journal;"26188171, 26188163";0,833;Q1;7;39;96;1187;87;96;0,91;30,44;-;0;11;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
4;21100855405;"Povolzhskaya Arkheologiya";journal;"25002856, 23064099";0,829;Q1;8;66;227;1936;98;227;0,51;29,33;-;0;7;Russian Federation;Eastern Europe;"Academy of Sciences of Tatarstan, A.Kh. Khalikov Archaeology Institute";"2017-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
5;21511;"Russian Chemical Reviews";journal;"0036021X, 14684837";0,811;Q1;90;40;120;11789;800;119;5,79;294,73;-;0;13;Russian Federation;Eastern Europe;"Editorial Board of the Journal Uspekhi Khimii (Russian Chemical Reviews)";"1970-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
6;21101049148;"Kantian Journal";journal;"02076918, 23103701";0,804;Q1;4;19;76;1036;36;73;0,44;54,53;-;0;3;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2019-2024";"Philosophy (Q1)";"Arts and Humanities"
7;21100874334;"Russian Journal of Linguistics";journal;"26868024, 26870088";0,799;Q1;17;40;129;1784;253;128;1,50;44,60;-;0;2;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1)";"Social Sciences"
8;21100915694;"Bulletin of Irkutsk State University, Series Mathematics";journal;"25418785, 19977670";0,752;Q1;9;42;111;742;103;111;1,12;17,67;-;0;0;Russian Federation;Eastern Europe;"Irkutsk State University";"2019-2024";"Mathematics (miscellaneous) (Q1)";"Mathematics"
9;21100836842;"Rossijskaja Arheologija";journal;"08696063";0,750;Q1;7;24;165;963;62;164;0,32;40,13;-;0;2;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2017-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
10;21101163250;"Ufa Archaeological Herald";journal;"27822842, 18141692";0,739;Q1;2;52;30;3029;15;30;0,50;58,25;-;0;11;Russian Federation;Eastern Europe;"Ufa Federal Research Center of the Russian Academy of Sciences";"2023-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1); History and Philosophy of Science (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences"
11;21101053557;"Nizhnevolzhskiy Arkheologicheskiy Vestnik";journal;"26585995, 25878123";0,731;Q1;5;34;92;1639;39;92;0,46;48,21;-;0;2;Russian Federation;Eastern Europe;"Volgograd State University";"2019-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
12;19900192728;"Moscow Mathematical Journal";journal;"16094514, 16093321";0,694;Q1;24;25;81;740;58;81;0,57;29,60;-;0;0;Russian Federation;Eastern Europe;"Independent University of Moscow";"2010-2024";"Mathematics (miscellaneous) (Q1)";"Mathematics"
13;26395;"Russian Mathematical Surveys";journal;"00360279, 14684829";0,684;Q2;47;36;129;1258;122;104;0,99;34,94;-;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1970-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
14;85920;"Reviews on Advanced Materials Science";journal;"16058127, 16065131";0,660;Q2;70;107;260;8658;1136;260;4,33;80,92;-;0;33;Russian Federation;Eastern Europe;"Walter de Gruyter GmbH";"2003-2024";"Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2)";"Materials Science; Physics and Astronomy"
15;16869;"Biochemistry (Moscow)";journal;"00062979, 16083040";0,659;Q2;97;185;490;12624;1163;485;2,32;68,24;-;0;62;Russian Federation;Eastern Europe;"";"1972-1980, 1996-2024";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Geriatrics and Gerontology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
16;21101048330;"Mining Science and Technology (Russian Federation)";journal;"25000632";0,634;Q2;11;35;87;1000;184;87;2,32;28,57;-;0;11;Russian Federation;Eastern Europe;"National University of Science and Technology MISIS";"2016-2024";"Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Earth and Planetary Sciences; Engineering"
17;21100256975;"Acta Naturae";journal;"20758251";0,633;Q2;38;41;133;2107;289;133;1,86;51,39;-;0;14;Russian Federation;Eastern Europe;"Acta Naturae";"2013-2024";"Biotechnology (Q2); Biochemistry (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology"
18;21100827893;"Sustainable Development of Mountain Territories";journal;"19984502, 2499975X";0,626;Q1;19;112;234;3192;486;233;2,36;28,50;-;0;62;Russian Federation;Eastern Europe;"North Caucasian Institute of Mining and Metallurgy, State Technological University";"2011-2024";"Sociology and Political Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Mechanical Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Earth and Planetary Sciences; Energy; Engineering; Environmental Science; Social Sciences"
19;21100411349;"Zoosystematica Rossica";journal;"03209180, 24100226";0,623;Q1;12;34;98;810;83;98;0,85;23,82;-;0;0;Russian Federation;Eastern Europe;"Zoological Institute, Russian Academy of Sciences";"2014-2025";"Animal Science and Zoology (Q1); Insect Science (Q1); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
20;21101185951;"Construction Materials and Products";journal;"26187183";0,606;Q1;10;50;78;1532;279;78;3,58;30,64;-;0;20;Russian Federation;Eastern Europe;"Belgorod V G Shukhov State Technology University";"2022-2024";"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2)";"Engineering; Materials Science"
21;21101121910;"Arkheologiia Evraziiskikh Stepei";journal;"25876112, 26189488";0,605;Q1;5;192;491;6741;126;491;0,29;35,11;-;0;28;Russian Federation;Eastern Europe;"Academy of Sciences of Tatarstan, A.Kh. Khalikov Archaeology Institute";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
22;23294;"Izvestiya Mathematics";journal;"10645632, 14684810";0,575;Q2;27;47;146;1201;103;145;0,64;25,55;-;0;1;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1993-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
23;26456;"Sbornik Mathematics";journal;"14684802, 10645616";0,548;Q2;32;75;219;1803;139;219;0,63;24,04;-;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1977, 1993-2024";"Algebra and Number Theory (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
24;21100905930;"Kratkiye Soobshcheniya Instituta Arkheologii";journal;"01302620";0,546;Q1;7;112;368;3209;79;368;0,21;28,65;-;0;7;Russian Federation;Eastern Europe;"Russian Academy of Sciences, Institute of Archaeology";"2018-2024";"Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities"
25;29244;"Physics-Uspekhi";journal;"10637869, 14684780";0,544;Q2;94;90;212;8129;528;206;2,25;90,32;-;0;8;Russian Federation;Eastern Europe;"Uspekhi Fizicheskikh Nauk";"1993-2024";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
26;21100937441;"Vestnik Archeologii, Antropologii i Etnografii";journal;"18117465, 20710437";0,543;Q1;7;74;223;2467;94;223;0,42;33,34;-;0;19;Russian Federation;Eastern Europe;"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
27;21100407142;"Far Eastern Entomologist";journal;"1026051X";0,539;Q2;14;65;192;1211;151;192;0,74;18,63;-;0;4;Russian Federation;Eastern Europe;"Far East Branch of the Russian Entomological Society and Laboratory of Entomology, Institute of Biology and Pedology";"2015-2025";"Insect Science (Q2)";"Agricultural and Biological Sciences"
28;21101056824;"Novaya i Novejshaya Istoriya";journal;"01303864";0,536;Q1;5;65;299;2053;79;279;0,27;31,58;-;0;12;Russian Federation;Eastern Europe;"Nauka Publishers";"1972, 1986, 2000, 2002, 2019-2024";"History (Q1)";"Arts and Humanities"
29;19700173205;"Acarina";journal;"22215115, 01328077";0,522;Q2;17;17;64;463;35;64;0,40;27,24;-;0;2;Russian Federation;Eastern Europe;"Tyumen State University";"2009-2024";"Insect Science (Q2)";"Agricultural and Biological Sciences"
30;21100415026;"Invertebrate Zoology";journal;"18129250, 18140815";0,518;Q2;14;38;93;1473;117;93;0,92;38,76;-;0;0;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2015-2024";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
31;21101039405;"RUDN Journal of Language Studies, Semiotics and Semantics";journal;"24111236, 23132299";0,507;Q1;10;59;217;1499;151;216;0,78;25,41;-;0;10;Russian Federation;Eastern Europe;"Peoples' Friendship University of Russia";"2019-2024";"Linguistics and Language (Q1)";"Social Sciences"
32;21100855910;"Voprosy Leksikografii";journal;"22274200, 23113758";0,483;Q1;5;15;60;381;33;60;0,62;25,40;-;0;1;Russian Federation;Eastern Europe;"Tomsk State University";"2017-2024";"Linguistics and Language (Q1)";"Social Sciences"
33;38533;"Eurasian Soil Science";journal;"10642293, 1556195X";0,475;Q2;45;186;551;10176;995;551;1,70;54,71;-;0;52;Russian Federation;Eastern Europe;"";"1992-2024";"Earth-Surface Processes (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
34;21100228035;"Psychology in Russia: State of the Art";journal;"20746857";0,471;Q1;17;31;119;1480;202;119;1,89;47,74;-;0;8;Russian Federation;Eastern Europe;"Russian Psychological Society";"2012-2024";"History and Philosophy of Science (Q1); Education (Q2); Psychology (miscellaneous) (Q3)";"Arts and Humanities; Psychology; Social Sciences"
35;21101046164;"Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya";journal;"27132021";0,470;Q1;6;59;110;2757;63;110;0,58;46,73;-;0;1;Russian Federation;Eastern Europe;"Cimmeria Publishing";"2019-2024";"Archeology (arts and humanities) (Q1); History (Q1); Linguistics and Language (Q1)";"Arts and Humanities; Social Sciences"
36;21100792082;"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki";journal;"20765959, 19949197";0,467;Q2;11;35;106;886;78;105;0,77;25,31;-;0;2;Russian Federation;Eastern Europe;"Udmurt State University";"2016-2024";"Computer Science (miscellaneous) (Q2); Fluid Flow and Transfer Processes (Q2); Mathematics (miscellaneous) (Q2)";"Chemical Engineering; Computer Science; Mathematics"
37;21100286906;"Eurasian Mining";journal;"20720823";0,463;Q2;20;36;123;974;157;123;1,02;27,06;-;0;13;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2024";"Business and International Management (Q2); Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Earth and Planetary Sciences; Engineering"
38;21101160593;"Insight";journal;"26646005, 2663970X";0,453;Q3;13;40;65;1476;149;59;3,04;36,90;-;0;14;Russian Federation;Eastern Europe;"";"2019-2024";"Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q3)";"Psychology"
39;21100316007;"Russian Journal of Herpetology";journal;"10262296";0,450;Q2;16;40;117;1602;131;116;1,05;40,05;-;0;14;Russian Federation;Eastern Europe;"Folium Ltd";"2014-2024";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
40;21101037324;"World of Media";journal;"26868016, 23071605";0,444;Q1;9;19;47;757;83;47;1,56;39,84;-;0;7;Russian Federation;Eastern Europe;"Lomonosov Moscow State University, Faculty of Journalism";"2019-2024";"Linguistics and Language (Q1); Communication (Q2)";"Social Sciences"
41;21100431830;"Russian Entomological Journal";journal;"01328069";0,443;Q2;14;56;174;1404;116;173;0,66;25,07;-;0;1;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2015-2024";"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
