Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
189;21100939599;"Kardiologiya i Serdechno-Sosudistaya Khirurgiya";journal;"23094737, 19966385";0,230;Q3;11;93;271;2210;126;270;0,41;23,76;36,04;0;44;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"2012-2024";"Surgery (Q3); Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
190;21100793184;"Prikladnaya Diskretnaya Matematika";journal;"23112263, 20710410";0,230;Q4;7;44;113;1100;30;113;0,24;25,00;36,59;0;0;Russian Federation;Eastern Europe;"Tomsk State University";"2016-2024";"Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Signal Processing (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
191;21101056927;"Spatial Economics";journal;"25875957, 18159834";0,230;Q3;7;36;107;981;53;107;0,56;27,25;55,10;0;20;Russian Federation;Eastern Europe;"Economic Research Institute, Far Eastern Branch, Russian Academy of Sciences";"2019-2024";"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
192;21100857559;"BRICS Law Journal";journal;"24122343, 24099058";0,229;Q2;8;30;81;569;41;75;0,51;18,97;46,30;0;20;Russian Federation;Eastern Europe;"University of Tyumen";"2017-2024";"Law (Q2)";"Social Sciences"
193;21100776063;"Letters on Materials";journal;"22185046, 24103535";0,229;Q3;17;87;281;2450;246;281;0,92;28,16;39,68;0;3;Russian Federation;Eastern Europe;"Institute for Metals Superplasticity Problems of Russian Academy of Sciences";"2014-2024";"Materials Science (miscellaneous) (Q3)";"Materials Science"
194;21100808900;"Voprosy Ginekologii, Akusherstva i Perinatologii";journal;"24149152, 17261678";0,229;Q3;15;105;356;3224;523;356;1,58;30,70;67,01;0;45;Russian Federation;Eastern Europe;"Dynasty Publishing House";"2016-2024";"Obstetrics and Gynecology (Q3); Pediatrics, Perinatology and Child Health (Q3)";"Medicine"
195;21100903047;"Patologiya Krovoobrashcheniya i Kardiokhirurgiya";journal;"16813472, 25003119";0,228;Q4;9;35;146;860;80;145;0,26;24,57;28,49;0;13;Russian Federation;Eastern Europe;"Meshalkin National Medical Research Center";"2018-2024";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
196;21100944725;"Marine Biological Journal";journal;"24999776, 24999768";0,227;Q3;10;38;105;998;61;105;0,52;26,26;57,95;0;11;Russian Federation;Eastern Europe;"A.O. Kovalevsky Institute of Biology of the Southern Seas of RAS";"2016-2024";"Ecology (Q3); Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
197;27909;"Geodeziya i Kartografiya";journal;"25878492, 00167126";0,225;Q3;7;74;232;1107;76;232;0,36;14,96;43,75;0;8;Russian Federation;Eastern Europe;"Center of Geodesy, Cartography and SDI, FSBI";"1979-1982, 2019-2024";"Earth-Surface Processes (Q3); Computers in Earth Sciences (Q4); Geophysics (Q4)";"Earth and Planetary Sciences"
198;21100979307;"Counseling Psychology and Psychotherapy";journal;"20753470, 23119446";0,224;Q3;12;38;124;967;85;109;0,52;25,45;85,14;0;13;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2016-2024";"Health (social science) (Q3); Clinical Psychology (Q4); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
199;26483;"Russian Journal of Bioorganic Chemistry";journal;"10681620, 1608330X";0,224;Q4;33;179;467;7712;533;445;1,07;43,08;47,07;0;65;Russian Federation;Eastern Europe;"";"1996-2024";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
200;21101070214;"Russian Rhinology";journal;"24118788, 08695474";0,224;Q3;6;42;107;1136;58;107;0,58;27,05;51,47;0;7;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"2019-2024";"Otorhinolaryngology (Q3)";"Medicine"
201;21100782420;"Ural'skij Istoriceskij Vestnik";journal;"17289718";0,224;Q1;9;83;229;1485;55;227;0,26;17,89;40,83;0;30;Russian Federation;Eastern Europe;"Ural Branch of RAS";"2016-2024";"History (Q1)";"Arts and Humanities"
202;14552;"Doklady Biological Sciences";journal;"00124966, 16083105";0,223;Q3;21;84;165;1574;120;165;0,77;18,74;57,35;0;15;Russian Federation;Eastern Europe;"";"1972-1974, 1979-1990, 2000-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Immunology and Microbiology (miscellaneous)  (Q4); Medicine (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
203;21101045755;"Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki";journal;"25878719";0,223;Q1;4;67;169;1700;31;162;0,18;25,37;35,48;0;10;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2019-2024";"History (Q1); Religious Studies (Q1); History and Philosophy of Science (Q2); Philosophy (Q2)";"Arts and Humanities"
204;5700152785;"Voprosy Filosofii";journal;"00428744";0,223;Q2;10;243;651;2784;148;645;0,25;11,46;39,68;0;18;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2002-2025";"Cultural Studies (Q2); History and Philosophy of Science (Q2); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
205;21101038803;"Nanosystems: Physics, Chemistry, Mathematics";journal;"22208054, 23057971";0,222;Q3;14;82;246;2526;238;246;0,90;30,80;36,62;0;11;Russian Federation;Eastern Europe;"ITMO University";"2019-2024";"Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Condensed Matter Physics (Q4)";"Materials Science; Mathematics; Physics and Astronomy"
206;21100829916;"Chernye Metally";journal;"01320890, 24140104";0,221;Q3;17;160;428;3619;206;427;0,54;22,62;43,77;0;24;Russian Federation;Eastern Europe;"Ore and Metals Publishing house";"2016-2024";"Metals and Alloys (Q3)";"Materials Science"
207;21101017014;"Russian Journal of Clinical Ophthalmology";journal;"23117729, 26191571";0,221;Q3;6;36;118;972;67;118;0,56;27,00;54,89;0;3;Russian Federation;Eastern Europe;"Medicine-Inform LLC";"2019-2024";"Ophthalmology (Q3)";"Medicine"
208;21100773342;"Siberian Historical Research";journal;"23124628, 2312461X";0,221;Q1;7;52;158;1879;49;154;0,22;36,13;43,48;0;9;Russian Federation;Eastern Europe;"Tomsk State University";"2013-2024";"History (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
209;20464;"Angiologiya i Sosudistaya Khirurgiya";journal;"10276661";0,220;Q4;12;54;268;1252;118;267;0,33;23,19;0,00;0;0;Russian Federation;Eastern Europe;"Geotar Media Publishing Group";"2003-2024";"Medicine (miscellaneous) (Q4)";"Medicine"
210;21100855805;"Computer Research and Modeling";journal;"20767633, 20776853";0,220;Q4;12;98;263;2596;124;242;0,44;26,49;31,87;0;10;Russian Federation;Eastern Europe;"Institute of Computer Science";"2017-2024";"Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
211;21100940504;"Filosofskii Zhurnal";journal;"20720726, 26584883";0,220;Q2;4;53;148;956;26;147;0,17;18,04;29,82;0;5;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2019-2024";"Cultural Studies (Q2); History and Philosophy of Science (Q2); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
212;21100860693;"Iberoamerica (Russian Federation)";journal;"20759711, 20768400";0,220;Q2;5;37;108;1146;31;108;0,33;30,97;44,68;0;21;Russian Federation;Eastern Europe;"Institute of Latin American Studies, Russian Academy of Sciences";"2017-2024";"Law (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3); Safety Research (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
213;21100244604;"Scientific Visualization";journal;"20793537";0,220;Q4;13;55;160;1296;92;160;0,65;23,56;35,77;0;3;Russian Federation;Eastern Europe;"National Research Nuclear University "MEPhI"";"2013-2024";"Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
214;21100898946;"Sibirskii Filologicheskii Zhurnal";journal;"18137083";0,220;Q1;4;99;297;1884;50;297;0,18;19,03;70,73;0;9;Russian Federation;Eastern Europe;"Siberian Branch of the Russian Academy of Sciences, Institute of Philology";"2018-2024";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
215;17305;"Botanicheskii Zhurnal";journal;"00068136, 26586339";0,219;Q4;8;91;300;3195;109;286;0,35;35,11;68,42;0;20;Russian Federation;Eastern Europe;"Komarov Botanical Institute of the Russian Academy of Sciences";"1977, 2019-2024";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences"
216;21100793172;"Informatika i ee Primeneniya";journal;"19922264, 23109912";0,219;Q4;10;57;183;863;53;183;0,35;15,14;19,57;0;3;Russian Federation;Eastern Europe;"Federal Research Center "Computer Science and Control" of Russian Academy of Sciences";"2015-2024";"Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Mathematics"
217;21100818507;"Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny";journal;"22195467";0,218;Q3;14;80;387;2696;248;387;0,57;33,70;70,07;0;24;Russian Federation;Eastern Europe;"Russian Public Opinion Research Center, VCIOM";"2016-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
218;21101075154;"Povolzhskii Ekologicheskii Zhurnal";journal;"25418963, 16847318";0,218;Q3;5;30;96;1014;49;96;0,63;33,80;58,43;0;12;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2019-2024";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
